,title,writer,date,views,likes
0,비순정 유네찌 분양합니다,왓챠웃34,1시간 전,10,0
1,순정 잭슨 분양합니다.,구고마치킨,03.10,34,0
2,"꽃지,리처드,티미 중에 입양 원해요",나짱,03.10,15,0
3,아미보거래,낚시왕 도적 5247,03.05,58,1
4,애플이 분양 받아요!! (완,애플이광팬,03.04,107,1
5,아잠만 분양받아요-! 집 비어있어요🥺🥺,전설의 도적 8752,03.04,51,1
6,비순정 유네찌 귀오미 보내요!,류비,03.03,22,1
7,"다람이, 부케 분양 보냅니다!",부지런한 만렙135,03.02,46,1
8,(완)비순정 잭슨 분양합니다,왓챠웃34,03.02,77,0
9,왕코형님 데려가실 분,다롱이,03.02,63,1
10,순정 지키미 분양보냅니다!,부지런한 만렙135,03.01,43,1
11,순정 요비/애플이/스피카 분양받아요!,애플이광팬,03.01,62,0
12,[분양마감] 비순정 귀오미 데려가실 분?,페니실린을 이겼어,03.01,66,0
13,요비 비순정으로 분양 보냅니다,주린 주린의섬,03.01,31,0
14,요비 <-> 뽀야미 교환하실분(완),구구단을외자,03.01,83,0
15,쭈니 분양 보냅니다.,천하통일 도적 3676,03.01,83,0
16,아미보 분양 리스트 업데이트,낚시왕 도적 5247,03.01,73,1
17,[분양완료] 순정 패치 분양합니다,찐,03.01,43,0
18,[완료]초순정 애플이 데려가세요!,묭,02.29,149,2
19,"혹시 잭슨이나 레이니, 귀오미 셋 중 분양 가능하신분..",율s,02.29,76,0
20,비순정 애플이 분양합니다.,이루어보자,02.29,96,3
21,아미보분양,낚시왕 도적 5247,02.28,306,1
22,순정 서머 분양보냅니다,낚시왕 도적 5247,02.27,69,0
23,애플이 분양 보내용,몽글,02.26,94,0
24,밥이나 미애 데려가실분??,부지런한 만렙135,02.26,88,0
25,크리스틴 프랑소와 분양 받아요,안녕하세용용,02.26,26,0
26,부케입양합니다,날카로운 암살자 5288,02.25,44,2
27,순정다람 분양해요,날카로운 암살자 5288,02.25,31,0
28,순정 지키미 구해요,어쩔 모롱,02.23,33,0
29,비순정 리처드 이사 고민 띄웠는데 20마일로 데려가실분!,나만업어뽀야미,02.23,89,0
30,비순정 1호 분양보내요! (오늘안으로 연락부탁드릴게요!),크리미,02.23,85,2
31,"순정 애플이랑 순정/비순정 스피카, 프랑소와 교환 원해요~~",스피카프랑소와구해요,02.22,93,0
32,히죽 사이다 서머 스피카 ㅈㅂㅈㅂㅈㅂㅈㅂ,섬꾸방금시작,02.21,88,0
33,쭈니 데려가실분(완),부지런한 만렙135,02.21,130,0
34,(완)크리스틴 분양해주실 분 있으신가용🥺🥺,도오오옹숲,02.20,99,0
35,미첼 구합니다!!,가리비구이,02.20,84,1
36,주민 구해용!!,섬꾸방금시작,02.20,79,0
37,스피카 구해요ㅠㅠ,조개 침대,02.19,41,0
38,완)이요분양해봐요,낚시왕 도적 5247,02.19,53,1
39,애플이 입양 희망합니다,왓챠웃34,02.19,151,4
40,5탄 주민 분양,김데이비드,02.18,123,1
41,"잭슨,뽀야미,애플 입양 원해요!",마먕이트,02.18,80,1
42,히죽이 분양해 주실분......?,부지런한 만렙135,02.17,49,1
43,부케 드립니다!,쿠키1358,02.17,107,0
44,비순정 나탈리 분양해요(완),부지런한 만렙135,02.17,66,0
45,케첩 입양원해요🍅,(알 수 없음),02.16,130,3
46,햄까스/파슬리/케첩 입양원해요.,리윤,02.16,47,7
47,순정 산드라 무료분양보냅니다.,리윤,02.16,44,0
48,순정 패치 원하시는 분??[분양완료],fiora,02.15,166,0
49,잭슨분양,얄미운 만렙 6757,02.15,137,3
50,스피카 원해요,꿈에서본 수호신 9910,02.14,99,2
51,(마감) 급해요 ㅜㅜ피터 입양해가세요 교환도 받음,꽃보다 쭈니,02.13,184,1
52,니가 왜 거기서 나옴?,호빵맨입니다,02.13,100,5
53,순정 요비 분양해요,넹글,02.13,59,0
54,대장 히죽이 분양해 주실분......ㅜ 간절히 원합니다,부지런한 만렙135,02.12,108,3
55,저.... 스피카 벨로는 분양받을 수 없을까요??,규리,02.11,217,0
56,순정바닐라 20마일로 입양하실분,꿈에서본 수호신 9910,02.11,37,1
57,"머피 40마일에 분양해주실분 ,,",열렙 중인 입문자 4651,02.11,39,1
58,순정 리키 입양 원해요,체원,02.09,58,0
59,리얼타임유저입니다 ㅠㅠ 도와주세요 ㅠㅠ [마감!],d룰루랄라b,02.09,203,3
60,아미보 5탄 주민 분양(설 연휴 끝나고 가능),김데이비드,02.08,316,2
61,부케 입양해요!마일제시,뚜루,02.08,41,1
62,순정 베리 20마일에 입양보내요,꿈에서본 수호신 9910,02.08,31,2
63,잭슨 입양 원해요!,나연두부,02.08,81,2
64,순정패치분양,날카로운 암살자 5288,02.08,33,1
65,다람 분양,123,02.07,74,0
66,혹시 메이첼... [완],율s,02.07,141,3
67,귀오미 분양해요(거완),스트링,02.06,92,0
68,캔버라 입양하실 분 !!,뱅미덩어리,02.06,50,1
69,"시베리아, 리처드, 지키미, 비앙카 입양",하루,02.06,95,0
70,순정 모니카 입양해가실분!,김데이비드,02.06,38,0
71,미애30마일에 분양해오,날카로운 암살자 5288,02.05,61,1
72,순정 코코아 데려가실분,김데이비드,02.05,57,2
73,요비 30마일에 분양보내용,하진 너도 나 도,02.05,86,3
74,순정 미애 분양합니다,밍몽,02.04,82,1
75,비순정 쭈니 40마일에 팝니다!,민경,02.04,108,0
76,5탄 주민 보내요,처드,02.04,563,4
77,인기주민 미애 미첼 분양합니다,000,02.04,194,1
78,순정 스피카 입양50마일,날카로운 암살자 5288,02.04,46,0
79,"인기주민, 비인기주민 거래 마일이나 벨 또는 아이템도 가능",000,02.03,88,0
80,순정 비앙카 분양해요 (예약중),고양이가왔섬가지마,02.02,80,0
81,사이다 보내요 ( 완,처드,02.02,144,0
82,1티어 주민 입양,김데이비드,02.02,81,0
83,미애 크리스틴 멜버른 앨리 부케 사이다 입양,뚜루,02.02,92,0
84,부케 데려가실분(거완!),김데이비드,02.02,49,0
85,순정 패치 40마일 분양보내요!,학살중인 마법사 7135,02.02,64,0
86,순정 유네찌 입양하고 싶어용,세계최강,02.02,35,5
87,초순정 애플이 데려가세요~,묭,02.01,104,2
88,초순정 애플이 데려가세요~!,묭,02.01,163,0
89,순정 사이다 40마일에 분양합니다,고양이가왔섬가지마,02.01,105,2
90,애플이 입양해요,젤리,01.31,77,1
91,릴리 입양받아요!,묭,01.31,70,0
92,순정 뽀야미 40마일에 분양합니당,세계최강,01.31,148,2
93,순정 솔미 20마일에 분양,뚜루,01.30,39,2
94,순정 쭈니 구해봅니다ㅜㅜ,도레미파솔라시도요,01.29,39,0
95,(완료)🫧사이다🫧 입양 원해요,햇,01.29,87,0
96,순정 스피카랑 크리스틴 분양 받고싶어요,안녕하세용용,01.29,72,0
97,박하스나 연유 입양 원해요,나는 사실 누나 1164,01.29,26,0
98,"애플이, 패치 입양 합니당",젤리,01.28,49,0
99,뽀야미 또는 패치 입양구해봅니당 :) 마일 제시해주세요,희망드림,01.28,49,0
100,리키 입양합니당,동숲하는 리키,01.28,54,4
101,스피카 10마일에 분양 보냅니당,젤리,01.27,132,0
102,스피카 분양해요,젤리,01.27,34,0
103,"[완]리처드, 귀오미 입양받고싶습니다",천하통일 트롤 969,01.27,35,0
104,릴리안이나 부케 입양 가능하신 분…,율s,01.25,98,0
105,순정 귀오미 분양받고 싶어요,루루링링,01.25,44,1
106,탁호..........,약히,01.24,92,1
107,스피카 분양합니당,젤리,01.24,86,0
108,[예약 완]비순정 메이 무료로 데려가세요 ㅠ,나만업어뽀야미,01.24,140,2
109,인기주민들 싸게 분양해여!,사람이에여,01.24,239,0
110,뮤값 300 넘으시는 분 비댓주세요..!!,하진 너도 나 도,01.24,32,0
111,탁호 입양 원해여,배고픈 파괴왕 2436,01.23,91,1
112,차둘 분양해요(초순정),유혜,01.23,34,0
113,비순정 메이 분양 보내요 마일 제시 부탁드립니당,나만업어뽀야미,01.23,40,2
114,(모니카)암면 (대장)팝니다 40마일 이에용,오늘만사는 Lv1 5505,01.23,44,0
115,"주민 분양 하고 싶어요! (지키미,뽀야미,애플,미애)",나만업어뽀야미,01.23,101,0
116,[ 완료 ] 순정 모니카 입양합니다 ッ,큐룽,01.23,138,1
117,"초순정,순정 뽀야미 분양 원합니다",나만업어뽀야미,01.23,40,0
118,"스피카,바닐라,비앙카 분양해여",젤리,01.23,115,0
119,요비or애플 데려가세요,seohye,01.23,225,2
120,스피카 요비 입양 원합니다 (완),워터플래그,01.23,178,0
121,시베리아 분양 합니다 (종료),미으,01.23,91,2
122,(완) 초순정 뽀야미 40마일 분양해요!,치킨먹는 휴먼 8315,01.22,78,1
123,분양해주세요,융,01.22,58,0
124,분양해요! (초초순정)차둘 (순정) 재스민,유혜,01.21,77,0
125,래미 분양 몇 마일 정도가 적당한가요?,신시아,01.21,44,0
126,[ 마감 ] 비순정 래미 무료분양합니다 .ᐟ.ᐟ,큐룽,01.20,69,0
127,나키 분양 보내요,젤리,01.20,31,1
128,분양해요 (순정)재스민 (초순정)차둘,유혜,01.20,40,0
129,순정 메이첼 분양(완,하진 너도 나 도,01.20,48,0
130,성숙 주민 아무거나 주세요!,쿠키1358,01.20,148,2
131,25마일에 메이첼 분양해용,하진 너도 나 도,01.20,46,0
132,"아잠만, 케첩, 카라멜중 한명 입양",몽구,01.19,38,0
133,하이22님?,루비조아,01.19,62,0
134,준인기주민 분양보내요! (초순정 차둘) (순정 재스민),유혜,01.19,51,0
135,[완료]애플이 데려가세요~,묭,01.18,217,3
136,릴리 원해요ㅠㅠ,묭,01.18,58,0
137,순정으로 비앙카 구해용,제마이,01.18,64,0
138,아미보 주민들 분양 보냅니다(무한),부지런한 만렙135,01.17,702,1
139,[완료]초순정 프랑소와 무료분양해요!,묭,01.17,101,1
140,잭슨 분양해요!!,ㅇㄹㅊㅌ,01.17,122,1
141,중인기 주민들 분양,애플아 날 가져,01.17,111,1
142,순정 재스민 분양해요,유혜,01.17,37,0
143,초순정 차둘이 분양해요,유혜,01.17,57,1
144,"[애플이, 미애, 프랑소와, 톰슨] 주민분양 (교환해요!)",묭,01.17,99,1
145,순정 리처드 분양 보냅니다,부지런한 만렙135,01.17,183,2
146,한나 분양해용,연우,01.16,58,1
147,초순정 사이다 분양보냅니다!(바로가능),부활한 뉴비 6466,01.16,104,0
148,비순정 메이첼 무료분양 합니당 (완료),치킨먹는 휴먼 8315,01.16,105,2
149,부케분양해요,몽구,01.16,48,0
150,"[분양/입양] 메이첼, 에끌레르 입양해요!",호로롱,01.15,38,1
151,대장 팝니당,오늘만사는 Lv1 5505,01.15,176,0
152,스피카 40마일에 팝니당,오늘만사는 Lv1 5505,01.15,65,0
153,크리스틴 입양 원합니다!! (완),구고마피자,01.15,95,0
154,프랑소와 무료 분양합니다 (완),백천,01.14,75,1
155,시베리아 입양해요!,은유,01.14,173,0
156,순정 나탈리 무료분양합니다(완료),앵,01.13,193,9
157,미애 입양해가실분!(완료),김데이비드,01.13,102,1
158,순정 주민 무료나눔 5분 결과,HAPPY도,01.13,298,0
159,탁호 25마일에 분양해요! (완),하진 너도 나 도,01.13,66,0
160,챔프 무료분양 보냅니다~,리윤,01.12,54,1
161,초순정 크리스틴 무료분양합니다(완료),앵,01.12,123,0
162,초순정주민 무료 나눔 5분만,HAPPY도,01.12,451,5
163,무료 비순정 인기주민 분양,아잠만,01.11,247,0
164,주민 분양해주세용 ㅜ-ㅜ,연우,01.11,122,1
165,[분양마감] 초초 비순정...요비,페니실린을 이겼어,01.11,85,1
166,순정 서머 분양 (완료!),뿍,01.11,85,1
167,주민 분양 받습니다,앵,01.11,119,1
168,이요 분양하실분 !! (완),뱅미덩어리,01.11,65,2
169,비앙카 시베리아 로보 대장이 분양해주실분 구합니다 ㅜㅜ,연우,01.10,96,0
170,부케 무료 분양합니다 (완),백천,01.10,94,2
171,핑글이 분양합니다,김데이비드,01.10,32,0
172,모니카 무료분양합니다!(완료),앵,01.10,85,0
173,(마감)패치 분양 보냅니다🧸,햇,01.10,62,0
174,올리비아 분양해용,뭊으,01.08,87,3
175,순정 미첼 팔아요!,김데이비드,01.08,152,0
176,비순정 쭈니 분양 하실분 구해요 (완),딩됴,01.08,137,1
177,순정 쭈니 분양 원해요,카사,01.08,74,1
178,글루민 무료 분양합니다! (완),백천,01.08,95,4
179,레이니 분양합니다(끝),멜로디,01.07,52,1
180,주민 분양합니다(완료),앵,01.07,222,0
181,뽀야미 보내요,숌뮹칭,01.07,101,1
182,패치 무료 분양합니다 (완),백천,01.07,77,1
183,주민 입양해가실분(무료분양) 완료),김데이비드,01.07,85,1
184,인기?비인기?같은 주민들 분양함니다!,애플아 날 가져,01.07,141,0
185,사이다 분양!(완),루비조아,01.06,141,2
186,순정 미첼 분양합니다[완료],ㅂ ㅏㅁ 비,01.06,169,0
187,(완료)요비 분양합니다! 순정은 아니에요,prisca,01.06,97,0
188,히죽이 분양합니다아,ㅂ ㅏㅁ 비,01.06,53,2
189,지키미 구해용,어쩔 모롱,01.06,33,1
190,사이다 분양해주실분ㅜ,답도 없는 초보 2373,01.06,106,0
191,[무료 분양]지키미 데려가세요,ㅂ ㅏㅁ 비,01.05,122,1
192,나탈리 무료 분양합니다 (완),백천,01.05,168,2
193,궁금해요,답도 없는 초보 2373,01.05,66,1
194,분양,답도 없는 초보 2373,01.05,62,0
195,어떻게?,답도 없는 초보 2373,01.05,73,0
196,뽀야미 무료 분양합니다 (완),백천,01.05,107,2
197,스피카 입양보냅니다~~,맛있는 케이크 8787,01.05,101,0
198,패치 원해요 ㅠㅠ 순정아니어도 됩니다!,도도한 사령관 3115,01.05,52,0
199,사이다 분양!(완),루비조아,01.05,149,1
200,분양보냅니다!,갅즤작살큐티뽀짝,01.04,358,3
201,잭슨 무료 분양합니다 (완),백천,01.04,131,1
202,애플이 무료 분양합니다 (완),백천,01.03,126,0
203,미애 무료 분양합니다 (완),백천,01.03,130,1
204,제시카 무료 분양!,사람이에여,01.03,44,0
205,아미보카드,동숲마니아2002,01.03,64,0
206,주민 분양글,HAPPY도,01.01,426,2
207,[ 완료 ] 순정 잭슨 분양,큐룽,01.01,253,1
208,쭈니 50마일로 입양해요..ㅠㅠ,똥손 요괴 3121,2023.12.31,109,0
209,마일티켓 받고 분양합니다,구고마피자,2023.12.31,203,2
210,쭈니..분양 받스ㅜㅂ니다 ㅠㅠㅠ,똥손 요괴 3121,2023.12.31,93,3
211,비순정 애플이 분양해요 (완),토오마토,2023.12.30,104,0
212,사람이에여님! 들어와주세요!_예약됩니다,유네찌네찌,2023.12.30,99,0
213,순정 토시 입양합니다.,DL 낙원,2023.12.30,40,0
214,뽀야미 분양 ‘받아요’,밤새는 휴먼 5239,2023.12.29,83,0
215,꽃지 데려가세요,유네찌네찌,2023.12.28,81,2
216,교환 부탁드립니다(새글로 확인해주세욥!),유네찌네찌,2023.12.28,153,2
217,주민 입양이요!(3명 까지 받아서 가장 마음에 드는 주민 입양해여),사람이에여,2023.12.28,202,2
218,"비앙카, 지키미, 히죽이 분양보냅니다!",부활한 파괴왕 3243,2023.12.27,58,1
219,순정 미첼 분양보냅니다,부활한 파괴왕 3243,2023.12.27,104,1
220,초순정 재스민 분양 보내용,솔플잘하는 입문자 1882,2023.12.26,31,0
221,귀오미 분양 해요 (비순정),솔플잘하는 입문자 1882,2023.12.26,66,1
222,[분양/입양] 입양받아요,호로롱,2023.12.25,144,1
223,병태 데리고오고 싶어요 ㅠㅠ,88565,2023.12.25,72,0
224,스피카 입양하시는 분 없나요..(완료),율s,2023.12.24,158,4
225,[완료]지키미 분양합니다! (비순정),카루,2023.12.24,87,1
226,잭슨 분양 보냅니다,부활한 파괴왕 3243,2023.12.24,163,2
227,[완료] 켄 입양원합니다!,카루,2023.12.23,65,2
228,"미첼이, 애플이, 뽀야미, 스피카, 요비, 나탈리 데려가실분!!",토오마토,2023.12.23,289,0
229,베리 분양합니다 (완료),구고마치킨,2023.12.22,88,1
230,글루민,미쩰,2023.12.22,59,1
231,혹시 시온이 데려가실 분 있나요?,레이나,2023.12.21,74,1
232,초순정 사라 분양해요,아리아놔그롼데,2023.12.20,53,0
233,[분양/입양] 순정 잭슨,호로롱,2023.12.20,160,1
234,초순정 지키미 분양보내요 (완료),내비도,2023.12.20,58,2
235,"[입양합니다] 켄, 쵸이, 티나, 탱고, 티미, 리아나, 데이빗",신화속 만렙 9364,2023.12.20,79,1
236,미첼구합니다,보구기보구가,2023.12.20,83,1
237,"쭈니,메이첼,베리,사이다,스피카 입양 원해요",솔플잘하는 입문자 1882,2023.12.19,111,0
238,동숲 주민 입양받아요,호로롱,2023.12.19,321,1
239,순정리처드 분양(완료),내비도,2023.12.19,90,0
240,분양 보냅니다!,율s,2023.12.17,232,0
241,[거래완료] 리처드 분양합니다(순정),고양이가왔섬가지마,2023.12.17,114,1
242,과일만먹은 애플 분양해요!(완),고라니,2023.12.16,86,0
243,사람인데여 님 들어와주세요!,처드,2023.12.16,109,0
244,캠핑장에 있는 클레오 마일 제시하면 분양 합니다,000,2023.12.16,54,0
245,[완료]시베리아 무료로 분양합니다!(순정×),카루,2023.12.15,165,1
246,[완료]패치 무료로 입양해 가세요(순정 X),카루,2023.12.15,127,2
247,이요 입양 구합니다!,부드러운 도적 1668,2023.12.13,75,0
248,[사기당함~] 1호 분양합니다 (순정),고양이가왔섬가지마,2023.12.12,399,2
249,아잠만 입양하고싶습니다,부 인,2023.12.11,83,2
250,미첼 입양,처드,2023.12.11,85,0
251,분양해가세욥,애플아 날 가져,2023.12.11,149,2
252,스피카 입양하실분,네이버최강 겜돌이 4483,2023.12.10,92,2
253,순정애플분양합니다(완),내비도,2023.12.09,60,2
254,리처드 분양,처드,2023.12.09,58,0
255,순정 1호 또는 차둘 마일 40입양 원해요~(완),고라니,2023.12.09,66,0
256,주민 분양,처드,2023.12.09,97,0
257,[분양마감] 비순정 애플 데려가세요.,페니실린을 이겼어,2023.12.08,216,1
258,메이...분양해요...,인성,2023.12.08,49,0
259,초순정귀오미 분양합니다 제시주세요,내비도,2023.12.08,44,1
260,[분양파토] 비순정 애플 데려가세요.,페니실린을 이겼어,2023.12.08,223,1
261,메이 분양해요!!,인성,2023.12.07,41,2
262,비앙카 분양,처드,2023.12.07,87,1
263,메이 분양보내요!!,인성,2023.12.06,26,0
264,메이 분양 보내드려요!,인성,2023.12.06,63,3
265,비앙카 분양 보내요!!,처드,2023.12.06,73,1
