,title,writer,date,views,likes
0,"체리, 사과 얻는 방법 알려주세요!🥺🥹",서율이댜옹,1시간 전,44,0
1,안녕하세요 아이스패스 인데요,호닝이모동숲,6시간 전,23,1
2,섬 평판 질문이요~^^,뚜루4247,7시간 전,29,0
3,궁금한거 있는데요,초리초코,10시간 전,37,0
4,철광석 구합니다,전국제패 입문자 4527,03.09,93,0
5,나무가 안자라요,동숲신입,03.08,100,1
6,돌이 없어요ㅠㅠ,전국제패 입문자 8443,03.08,189,0
7,과일 질문이요~^^,뚜루4247,03.07,75,2
8,떡밥,리니쨩,03.06,54,0
9,모동숲 미술품,물주먹 이현승,03.05,64,3
10,무주식할때,1pine,03.05,43,0
11,주민이 이사간대요~ 마일섬은 언제 가야 하나요??,동숲신입,03.05,89,1
12,모동숲 아미보 5탄 갑자기 비싸졌네요.,조금 힘쎈 여울이,03.03,80,4
13,섬꾸 알바? 그거 맡길 수 있나요?,라일라일라이리,03.03,99,0
14,지형 어떤가요?,라일라일라이리,03.03,80,0
15,주민 액자,헤헿,03.03,46,2
16,모동숲 리셋,조개 침대,03.02,73,0
17,애플이 시세,묭,02.29,91,1
18,다른 사람이 섬이 놀러오려면,인한,02.29,68,1
19,타란튤라 모형은 거래 가능한 물건인가요?,도오오옹숲,02.29,52,0
20,해피홈파라다이스,천하통일 도적 3676,02.29,73,2
21,아미보 카드 질문,묘미10,02.28,76,1
22,타임슬립 질문,라일라일라이리,02.28,55,1
23,의문점,루비조아,02.28,68,3
24,보리밭 레시피는 어디서 얻나요?2,큐륭,02.28,81,0
25,돈다발 레시피가 뭐에요?,라일라일라이리,02.28,87,4
26,덩이란 무엇인가...,헤헿,02.27,82,0
27,"난로,그렌드 피아노 마일이랑덩으로 알려주세요",주린 주린의섬,02.27,55,0
28,보리밭 카테고리가 가능한가요?,주린 주린의섬,02.27,127,0
29,레시피 가격 좀 알려주세요,주린 주린의섬,02.27,85,0
30,인테리어 소품이 사라지는 현상,맛있는체리,02.27,44,0
31,동린이에요ㅠㅠ 2배주는 퀘스트,전국제패 입문자 8443,02.27,77,0
32,채석장,구고마피자,02.26,49,1
33,캠핑장 노가다 질문ㅠㅠ,조개 침대,02.25,64,1
34,아미보 질문!,조개 침대,02.25,40,0
35,섬에 놀러가려면,일찐섬에서온 일찐,02.25,59,0
36,안내소에 마이디자인 단말기가 안떠요,전설의 마법사 3902,02.25,58,0
37,이건뭘까?,개나리,02.24,112,1
38,이사 노기다 질문,조개 침대,02.23,92,6
39,구두나 머리 장식 너굴상점에서 판다는데...,애플이광팬,02.22,90,2
40,이게 뭐지?,귀오미는 귀요미,02.22,95,0
41,안녕하세요 섬 지형 추천 좀 해주세요!,레엉,02.21,75,0
42,안녕하세요! 제가 아직도 고민중이라..,아직고밍즁,02.20,113,0
43,MPC별장 어케 만들어주나요?,동린이1111,02.20,76,2
44,동숲 처음 구매하려고 하는데요!,레엉,02.19,91,1
45,돈다발!무한,개나리,02.19,121,0
46,주민 순정 비순정 차이가 뭔가요?,개편한세상,02.19,85,0
47,고가매입품목은 같은날 다시 들어오면 바뀌나요??,어떡햄,02.19,39,0
48,콩돌밤돌이가 돈 먹튀했습니다,livingproofsilver,02.19,94,0
49,뉴비인데,천상의 쪼렙 9690,02.18,105,3
50,주민 이사,헤헿,02.18,79,0
51,동숲에 이런게 있어요..?,김데이비드,02.18,141,1
52,만지작 질문이요,짱아오빠짱구,02.17,87,0
53,궁금한게 있어요,너굴은 8000시간 동린이,02.17,52,2
54,진짜 급해요 제발 알려주세요..!!ㅜㅠ,큐룽,02.16,103,0
55,꽃 거래에 대해,짱아오빠짱구,02.16,62,1
56,이사노동 질문 있습니다,왓챠웃34,02.16,66,0
57,이사노동 질문,왓챠웃34,02.16,57,0
58,주민들이 부르는 노래,왓챠웃34,02.16,111,4
59,지형,나는 사실 누나 3335,02.16,67,3
60,리셋..액자문의..,페니실린을 이겼어,02.15,67,1
61,이 바닥?? 이 뭔가요,왓챠웃34,02.15,99,2
62,동숲시작해보려는데 모동숲칩만 사면되나요 아니면 해피홈도 사야하나요?,신화속 검사 7201,02.15,110,2
63,3월 되면 눈이 다 사라지나요?,챠콩,02.15,70,3
64,타임슬립 고가품목,천상의 언데드 5746,02.14,67,1
65,혹시 다른분 섬에 있던 애들이 이사를 오기도 하나요??,상추,02.13,126,13
66,여러분 질문이 있어용....,찌릿찌릿,02.13,136,2
67,다른 기기로 동숲,윤동이,02.13,67,1
68,자연풍 마이디자인,김데이비드,02.11,65,2
69,마이디자인 코드!!,d룰루랄라b,02.11,80,1
70,안녕하세요뉴비입니다,말려진귤,02.10,80,5
71,죽순 / 대나무,처드,02.09,88,0
72,렉인가요,루비조아,02.09,56,0
73,나눔 질문,루비조아,02.09,77,0
74,궁금한게 있는데옹..,반짝이는 선장 1643358,02.09,72,0
75,동린이 산리오 카드 질문이요,하루살이 입문자 8654,02.09,77,6
76,벽지 이름 질문이용,뚜앙이네,02.09,76,5
77,동숲 어카운드 연동안하고 어캐해여?(ㅋ),사람이에여,02.08,69,0
78,질문있어요!,김데이비드,02.08,79,2
79,이 아이템들 이름 아시는분??,NST,02.08,126,3
80,비순정…?,d룰루랄라b,02.08,85,2
81,나무가…,d룰루랄라b,02.08,73,2
82,여욱,귀오미는 귀요미,02.07,85,1
83,만지작 하고 싶은데..,처드,02.07,148,2
84,이거 무슨 아이템이예요?,규리,02.06,101,2
85,사이다시세가얼마정도하나요?,루비조아,02.06,114,1
86,다른섬가기~,나나린,02.06,85,3
87,도와주세요,NIKDUBO,02.05,82,1
88,어카운트 계정 변경 질문 이쑵니다!,김메기,02.05,44,1
89,캠핑장 주민,d룰루랄라b,02.05,124,2
90,자끄 인기주민 인가요?,귀오미는 귀요미,02.05,74,1
91,누구 내보낼까요..?,김데이비드,02.05,117,1
92,혹시 입양할라하는데,솔플잘하는 도적 66301703037106703,02.05,74,3
93,주민 분양 시키는 법,조개 침대,02.04,89,2
94,아미보 질문!,김데이비드,02.04,56,0
95,초보입니다,뚜루4247,02.04,67,0
