,title,writer,date,views,likes
0,아웅..이번주는 무주식 말아먹었어요,반짝이는 선장 1643358,1시간 전,9,0
1,91벨이 500대 파트너 구합니다,킹받은 도사 2339115,22시간 전,60,0
2,무팔러 오실분 구합니다!(끝),이루어보자,03.08,77,7
3,무주식 니가 몬디 날 울려,고영희씨 사랑혀요,03.06,70,2
4,무값높으신분,초텐짱,03.04,61,2
5,무값 200벨 이상인 섬 있나요?,낌뽀삐,03.03,137,0
6,무값 100벨 이상 섬 구합니다..ㅠㅠ,민둥민둥섬,03.03,91,3
7,무 457벨,천하통일 도적 3676,03.01,122,2
8,살려주세요ㅠㅠㅠ,부지런한 만렙135,02.28,133,0
9,무 507벨인데 오실분! (완),반짝이는 선장 1643358,02.28,156,0
10,무값 505벨 입니다 1회당 1마일 오실분 (완),지현2,02.26,147,4
11,무 전재산 다 털어서 샀는데 하락형이에용 ...,세이하,02.25,98,2
12,오실분?(완),강녀응,02.25,93,0
13,무주식 도와주실 분 구합니다ㅠㅠ,잉 누구세요,02.24,72,1
14,무주식 도와주실분,라운지 초심자 a536243,02.23,96,0
15,104벨 이상에만 팔면 되는데 제발 한번만 도와주세요,냥냥,02.22,111,1
16,무주식 진짜 망했는데 도와주실분...,애플이는 사랑입니다,02.22,102,2
17,무값 200 넘으신 분 구합니다…,전설의 평민 5574,02.21,60,0
18,시작한지 3일 됐는데 무트코인 망한거 같아요 살려주세요ㅜㅜ,wonie,02.20,140,1
19,무446벨떳어요,이 구역의 초보 4170,02.19,135,0
20,무 파트너 구함니다,버스타는 평민 2782,02.19,79,0
21,무트코인 전재산 망해써여,꾸꾸있섬,02.19,61,2
22,무 판매하고 싶습니다 ㅠㅠ,히히66,02.17,124,0
23,무 329벨,몽지mongji,02.16,82,0
24,무하나에91벨 떳는데 무 가격300벨이상 오르신분,이 구역의 초보 4170,02.15,117,0
25,전재산 올인...토요일오후인데 41벨이네요,전국제패 사령관 6569,02.12,156,1
26,무값 91벨 450벨 이상 파트너 구해용 🫶🏻,금콩,02.12,80,1
27,574벨입니다 선착분 5명,치즈주는 포도 3159292,02.11,135,4
28,한번만 살려주세요,전국제패 사령관 6569,02.10,84,1
29,저 망한거 맞쥬..?,반짝이는 선장 1643358,02.09,163,0
30,살려주세요,체원,02.09,130,0
31,살려주세요ㅠㅠㅠ,정신없는 호빵 3667271,02.09,74,0
32,586벨 1회 1마일 입니당!,김메기,02.09,85,1
33,505벨(마감),체원,02.08,121,1
34,혹시 무 값 높으신 분 ㅜㅜ,뱅미덩어리,02.06,57,1
35,오실분 선착5명[마감],규리,02.06,251,5
36,무값 400벨 이상이신분 찾습니다,조개 침대,02.04,58,0
37,무값 높으신분 있으세요!!?,잡채,02.04,67,2
38,무파니 구합니다,신지,02.02,76,1
39,(완)무값 474 입니다 1회당 1마일 오실 분,왓챠웃34,02.02,150,0
40,무값 509벨이에요,네이버최강 엘프 6788,02.02,140,2
41,섬에 무파니 있으신분 있으신가여..,젤리,02.01,111,1
42,혹시 무 비싸게 파는 곳 있을까요?,얄미운 킬러 2380,01.31,67,0
43,무 값 높으신 분 있으신가요??,젤리,01.31,138,5
44,제발 아무나 200벨대 구해요,금콩,01.31,140,5
45,무값(완),부지런한 만렙135,01.30,148,0
46,섬에 무파니 있으신 분 말씀 주세요!,부드러운 파괴왕 6733,01.30,57,1
47,섬에 무파니 있으신 분,부드러운 파괴왕 6733,01.30,91,0
48,무값 517벨이에요,승승,01.29,210,0
49,무값 497벨인데 무파니 있으신분?,럭키가이 파괴왕 4149,01.29,81,0
50,497벨 떴어요 오실분?,럭키가이 파괴왕 4149,01.29,56,0
51,섬에 무파니 있으신분..!!,잡다한 재능 소유쟈,01.29,29,0
52,무파니 와있는 분 무 한번만 사면 안될까용 ㅠ,왓챠웃34,01.28,110,1
53,무값 517 이에요,왓챠웃34,01.28,157,0
54,혹시.... 무.. 103벨 이상이신분 계신지요.....,잡채,01.28,67,0
55,무값 살려주세요.... 100벨 이상이기만 하면 됩니다ㅜㅜ,잡채,01.28,86,0
56,무주식 망했어요ㅠㅠ,WynA,01.28,62,0
57,무가격 100벨 이상이신분 계실까요?,1pine,01.27,102,0
58,무는 애매한 30개... 주식은 반토막....,1pine,01.26,80,0
59,무폭망 동린이 살려주세요,치킨먹는 휴먼 5939,01.26,67,0
60,(섬닫) 무 값 601이에요~,CHUU,01.26,246,1
61,무값 381 입니다,천하태평 입문자 7361,01.25,72,0
62,섬닫) 무값 500벨 무료입장이지만노동이섞인,동린이에여ㅜㅠ,01.25,703,4
63,무값 530원인데,승승,01.24,89,0
64,혹시 지금 무 가격 높으신부누우ㅡㅡ???,배고픈 파괴왕 2436,01.23,97,0
65,지금 무 가격 높은 곳 있을까요,하듀,01.23,78,0
66,(섬 닫음)무 526벨 오실 분!,하하싯,01.21,301,2
67,섬 닫음)무 560벨인데 혹시 오실분 계세요?,상추,01.21,184,0
68,무값 374벨,댕근,01.20,176,0
69,무트코인 도와주세요 ㅠㅠ,신화속 오빠 1442,01.20,77,1
70,무값 폭락ㅠㅠ 섬 개방해주실 분,즐겜중인 뉴비 7316,01.19,61,0
71,무 187벨이에요,유혜,01.17,92,0
72,무주식 꿀팁 없나요?ㅠㅠ,날카로운 언니 2347,01.16,77,1
73,무 값 618,연우,01.15,216,1
74,지금 섬에 무파니 있으신분...😭,상추,01.15,137,1
75,무 값 300벨 이상이신분 구해요ㅜㅜ,가로세로등,01.13,89,0
76,무값 495원인데,승승,01.12,177,0
77,무값 483원인데 오실분 잇나요?,가로세로등,01.12,130,1
78,무값 90벨입니다,학살중인 마법사 7135,01.11,83,0
79,별로 안되지만 202 입니당,내가 바로 엘프 4225,01.11,84,4
80,무값 100이라도 ㅠㅠㅠ제발 도외주세요ㅠㅠㅠㅠ,내가 바로 엘프 4225,01.11,85,0
81,"무값 높으신 주대님 찾아요,,,,,",천하통일 트롤 969,01.11,48,0
82,오늘 제 동네 무 233벨이에요,럭키가이 동생 5776,01.10,83,0
83,무값 621벨 이에요 오실분?,럭키가이 파괴왕 4149,01.10,283,5
84,무값337벨입니다(완료),레몬캔디,01.08,146,1
85,무 사가실 분 90벨이네용,럭키가이 파괴왕 4149,01.07,65,0
86,무값 150벨이상이신분…,초텐짱,01.05,58,0
87,무값 500벨 이상 이신 분 없으신가요?!,똥손 요괴 3121,01.05,71,0
88,무 값 도와주세요,노련한 마법사 154,01.05,83,0
89,무 500이상 1회 2마일 개방요청 합니다,율리,01.04,77,0
90,무 137벨(완),하진 너도 나 도,01.03,81,0
91,무값 623벨인데 사실분 있으실까요..??,초보나 다름없는,2023.12.31,371,1
92,무값 200벨 이상 구해요!!!,요구르트,2023.12.31,66,0
93,무값 개 망했는데 100벨이라도….,라운지 초심자 a249778,2023.12.30,87,0
94,무값 높으신 분,전설의 오빠 9624,2023.12.30,73,1
95,또 구합니당….,망,2023.12.30,217,0
96,구합니당..,망,2023.12.30,165,0
97,무 100벨이라도…,민,2023.12.29,75,1
