,title,writer,date,views,likes
0,아이템 삽니다 (완),특똥별,1시간 전,23,0
1,돈다발 레시피 팝니다,박슥가,4시간 전,20,0
2,아이템 구해요,호로롱,6시간 전,32,1
3,모든 주민 액자 팝니다,당근이 먹고싶다,17시간 전,109,0
4,레시피 삽니다.,시니해류,19시간 전,39,0
5,빛이끼 팝니다 덩쿨이랑 같이(거래 완료)👍,Yunjii,20시간 전,49,1
6,창호지 문 벽구합니다,똔니,22시간 전,43,0
7,목제 3세트 사봅니다 (거래완),똔니,22시간 전,25,0
8,모니카 액자 15마일에 팔아요,상추,23시간 전,19,0
9,목제 오르골 레시피 구합니다,너굴은 8000시간 동린이,23시간 전,30,0
10,펜스 구함니다(끝),안녕내이름은,23시간 전,45,0
11,"산리오 헬로키티 가구,옷 팔아요",나짱,03.10,46,1
12,돈ㄷr발 레시피 구합미다.,안녕내이름은,03.10,73,5
13,중세의 거리 구합ㄴ니다.. (구했습니다!!!!!),동숲열심히하고싶어,03.10,73,5
14,리셋하지마세요..,나는 사실 만렙 2349,03.09,155,1
15,고양이 액자 구매합니다!,냐미ㅋ,03.09,60,1
16,거거 구합니다!,애플이광팬,03.09,64,1
17,50떡밥 마일티켓 8개에 팔아욥!!,주러기,03.09,36,0
18,빛이끼 사실분,서찡구,03.09,37,0
19,돈다발 레시피 구해요,두기,03.09,99,6
20,포스터 팝니다.,동숲하는 애,03.09,42,1
21,산리오 아이템 팝니다,서찡구,03.09,73,4
22,레시피 배우고 가세용,부지런한 만렙135,03.08,88,0
23,"산, 돌로만든 사자상(레시피)있으신분!!",도오오옹숲,03.08,84,0
24,서부의 거리 10개 구합니다(완),fiora,03.08,65,1
25,철광석 나뭇가지(거래완),똔니,03.08,59,3
26,사진속 아이템 구해요(거래완),똔니,03.08,77,1
27,목제 필드 간판 레시피 구해용,핑팽푱,03.08,46,1
28,글루민 액자 팝니다,사람이에여,03.07,49,7
29,가랑비가 내리는 벽 팔아요,애플애플,03.07,52,1
30,벼룩 있는 섬 찾아요!!(끝),이루어보자,03.07,64,1
31,액자 삽니다.,페니실린을 이겼어,03.07,50,2
32,레시피 구합니다.,시니해류,03.06,86,4
33,스트로 액자,티티 t t,03.06,45,2
34,사진속 템들 삽니다 컬러상관 없어용,똔니,03.06,89,1
35,(완료)산리오 세트 20마일에 팔아요,모비딕,03.06,162,4
36,떡밥 100개 마일티켓 15개에 팝니다.,쑤마일,03.06,37,0
37,사진속 아이템 구합니다 컬러 상관 없습니다(거래완),똔니,03.06,85,1
38,산 구합니다! 파실 분만 댓글 달아주세여,도오오옹숲,03.05,108,9
39,검은장미나눔!!,민경,03.05,61,2
40,과일 구합니다 (완),금손 휴먼 3399,03.05,114,1
41,"과일 구합니다(배,복숭아) 완",꾸꾸있섬,03.05,88,0
42,가구나눔합니다(완),fiora,03.05,59,0
43,과일 구합니다.,해피동숲,03.05,73,1
44,사진속 템삽니다~ 컬러 상관 없어요(거래완),똔니,03.05,104,1
45,철광석 삽니다 (거래완),똔니,03.05,47,1
46,"케로케로피 다리, 복도의자 파실 분 있나요..🥺",도오오옹숲,03.04,117,1
47,가구 잡화 만지작 가능한 섬 있을까요!,천상의 고인물 4626,03.04,71,0
48,액자 팝니다.,구고마치킨,03.03,65,0
49,주민 액자 구매합니다,냐미ㅋ,03.03,76,3
50,크리스틴 액자 삽니다,뚜앙이네,03.03,38,2
51,마일팔아요,동숲하는 애,03.03,114,0
52,포장 과일 (오렌지) 팝니다,노동 동린이,03.03,35,0
53,돈다발 레시피 팝니다,노동 동린이,03.03,53,0
54,펜스…,율s,03.03,42,1
55,저 좀 도와 주세요!,쿠키1358,03.02,96,0
56,떱밥여러개나눔 해주실분,천하통일 고인물 6811,03.02,47,0
57,(완)조개램프 레시피 삽니다 프라탑오십개님 사랑해요,왓챠웃34,03.02,59,4
58,떡밥 팝니다,새글글,03.02,45,0
59,덩으로 마일 사요!,부지런한 만렙135,03.02,45,2
60,액자 구매합니다!,냐미ㅋ,03.01,49,1
61,주민액자 팝니다,부지런한 만렙135,03.01,44,0
62,대나무 관련 레시피 팝니다,왓챠웃34,03.01,39,0
63,(완료)액자 팝니다.,페니실린을 이겼어,03.01,106,0
64,조개램프 레시피 삽니다,왓챠웃34,03.01,37,0
65,떡밥 200개 25마일에 팔아요 ! [완],구고마피자,03.01,55,1
66,검은장미 삽니다,주린 주린의섬,03.01,90,0
67,레시피배우러오실분?(완),fiora,03.01,57,0
68,떡밥 100개 15마일 (완),나짱,02.29,78,7
69,완)금물뿌리개 삽니다,주린 주린의섬,02.29,62,0
70,금 물뿌리개 레시피 삽니다,주린 주린의섬,02.29,42,0
71,주민 액자구매합니다🙂,냐미ㅋ,02.29,78,2
72,떡밥 100개 20마일에 사요,맛있는김치,02.29,75,0
73,떡밥 150개 22마일에 팔아요 (완),채이,02.29,62,1
74,"조개램프 레시피, 위대한조각 삽니다",왓챠웃34,02.29,27,0
75,"과일 교환원합니다(배,오렌지보유)",침착한 미니언 5015144,02.29,59,0
76,떡밥 100개 15마일에 팔아요,다롱이,02.29,99,3
77,돈다발 레시피 30마일에 사요 (완),신화속 요괴 7072,02.28,102,6
78,타이어 구해요!,세계 최강 입문자 1772,02.28,53,1
79,사과구합니다 !!! (완),앙팡맨000,02.28,57,1
80,떡밥 100개 15마일에 팔아요 (완),신화속 요괴 7072,02.28,58,0
81,섬꾸 물건 구입 아니면 카탈로그원해요,주린 주린의섬,02.28,74,0
82,오렌지 구합니다 !,럭키가이 쪼렙 8612,02.28,81,1
83,머메이드 가구 팔아여,부지런한 만렙135,02.28,36,1
84,돈다발 레시피 삽니다! ( ｡ﾟДﾟ｡) -완료-,달디단밤양갱,02.28,80,0
85,배 체리 구합니다 (완),앙팡맨000,02.28,83,0
86,카탈로그에 등록된 가구 주문해드려요,쿠루미루쿠,02.28,55,3
87,가랑비가 내리는 벽 사요,라일라일라이리,02.28,46,0
88,덩으로 마일삽니다~~~ (완),앙팡맨000,02.27,84,6
89,돈다발 레시피 삽니다(완료),달디단밤양갱,02.27,63,1
90,배(과일) 1마일 구해요.,시니해류,02.27,57,0
91,액자 팝니다,구고마치킨,02.27,77,2
92,천장고정선반 레시피 1마일에 사영,릿처드,02.27,26,1
93,쌓인 책 레시피 1마일에 사요,릿처드,02.27,22,0
94,별시계 레시피 1마일에 사여,릿처드,02.27,23,0
95,가랑비가 내리는 벽 1마일에 사요,릿처드,02.27,33,0
96,떡밥사요 (완,마먕이트,02.27,78,0
97,초록낙엽 레시피 30마일에 구해봅니다.,폭주하는 동생 7065,02.27,34,0
98,오렌지 배 체리 구합니다!,웃고있는 멍뭉이 1140290,02.27,61,0
99,레시피 200여개 팔아요,왓챠웃34,02.27,77,1
100,"떡밥 팔아요 33개 3마일,,",도오오옹숲,02.27,63,1
101,떡밥 150개 24마일,밍수수,02.27,96,0
102,조개램프 레시피 삽니다,왓챠웃34,02.27,73,0
103,"신비한 벽, 바닥 삽니다 (완)",라일라일라이리,02.27,92,0
104,레시피 팔아요! 각 1마일,도오오옹숲,02.27,46,0
105,떡밥 100개 20마일,l닭가슴살l,02.27,43,0
106,덩으로 마일 살게요 (완),앙팡맨000,02.26,150,0
107,타이어3개!,(알 수 없음),02.26,56,0
108,떡밥 100개 20마일로 팝니다ㅠㅠ (거래완료),어푸,02.26,65,0
109,"마일, 돈 나눔 해주실 천사분!",KiKi,02.26,79,0
110,소박한 목제 간판 완제품4개 or 레시피 삽니다,도오오옹숲,02.26,51,0
111,타이어 삽니다,이루어보자,02.26,52,1
112,"달체어,별조명 레시피나 완제품 구해요!(완)",루비조아,02.26,56,1
113,돈다발 레시피 삽니다.(완료),쪼꼬베리,02.26,57,0
114,타이어 삽니다!,이루어보자,02.26,28,0
115,소박한 목제 간판 레시피 1마일에 구합니당!,럭키가이 도적 6097,02.26,38,0
116,(구함) 다육식물 1마일에 사요,릿처드,02.26,52,0
117,(구함) 판초코트 교환/1마일에구매,릿처드,02.26,45,0
118,위대한 조각 삽니다 제 발 요~!~!,도오오옹숲,02.26,36,2
119,떡밥 삽니다,똘똘이,02.26,56,0
120,"중세의 거리, 서부의 거리 만지작 구해요 🥲",B03,02.26,89,2
121,제섬 에서 도박하실분?,홍홍홍,02.25,106,0
122,과일 교환 원해요,빵심맘,02.25,61,0
123,진주 & 금광석 팔아요,홍홍홍,02.25,66,0
124,희귀버섯 팔아요!!,홍홍홍,02.25,29,0
